,name,abbr_iau,abbr_nasa,abbr_upper,meaning,bs_name,name_cn,area,ra,dec,quadrant,family,bs_name_bayer_cn,bs_name_cn
73,Sculptor,Scl,Scul,SCL,sculptor,α Sculptoris,玉夫座,474.764,0 26.28,-32 5.3,SQ1,拉卡伊,玉夫座α,近土司空南
74,Scutum,Sct,Scut,SCT,shield (of Sobieski),α Scuti,盾牌座,109.114,18 40.39,-9 53.32,SQ4,武仙,盾牌座α,天弁一
75,Serpens,Ser,Serp,SER,snake,α Serpentis,巨蛇座,636.928,16 57.04,6 7.32,NQ3,武仙,巨蛇座α,蜀/天市右垣七
76,Sextans,Sex,Sext,SEX,sextant,α Sextantis,六分仪座,313.515,10 16.29,-2 36.88,SQ2,武仙,六分仪座α,天相二
77,Taurus,Tau,Taur,TAU,bull,Aldebaran,金牛座,797.249,4 42.13,14 52.63,NQ1,黄道,金牛座α,毕宿五
78,Telescopium,Tel,Tele,TEL,telescope,α Telescopii,望远镜座,251.512,19 19.54,-51 2.21,SQ4,拉卡伊,望远镜座α,鳖一
79,Triangulum,Tri,Tria,TRI,triangle,β Trianguli,三角座,131.847,2 11.07,31 28.56,NQ1,英仙,三角座β,天大将军九
80,Triangulum Australe,TrA,TrAu,TRA,southern triangle,α Trianguli Australis,南三角座,109.978,16 4.95,-65 23.28,SQ3,武仙,南三角座α,三角形三
81,Tucana,Tuc,Tucn,TUC,toucan,α Tucanae,杜鹃座,294.557,23 46.64,-65 49.8,SQ4,拜耳,杜鹃座α,鸟喙一
82,Ursa Major,UMa,UMaj,UMA,great bear,ε Ursae Majoris,大熊座,1279.66,11 18.76,50 43.27,NQ2,大熊,大熊座ε,玉衡/北斗五
83,Ursa Minor,UMi,UMin,UMI,lesser bear,Polaris,小熊座,255.864,15 0,77 41.99,NQ3,大熊,小熊座α,勾陈一
84,Vela,Vel,Velr,VEL,sails,γ Velorum,船帆座,499.649,9 34.64,-47 10.03,SQ2,幻之水,船帆座γ,天社一
85,Virgo,Vir,Virg,VIR,virgin or maiden,Spica,室女座,1294.428,13 24.39,-4 9.51,SQ3,黄道,室女座α,角宿一
86,Volans,Vol,Voln,VOL,flying fish,β Volantis,飞鱼座,141.354,7 47.73,-69 48.07,SQ2,拜耳,飞鱼座β,飞鱼三
87,Vulpecula,Vul,Vulp,VUL,fox,α Vulpeculae,狐狸座,268.165,20 13.88,24 26.56,NQ4,武仙,狐狸座α,齐增五
